Start Date,End Date,Response Type,Progress,Finished,School Year,Enrollment,Residence,Primary Gender Identity,Cleaned Gender,Race,Hispanic or Latino,Orientation,Contraceptives Availability at UMR,Comfortable Buying Contraceptives,UMR Safe and Supportive Environment,Access to Sexual Health Education,Access to Sexual Health Services,Access to Over-the-Counter Contraceptives,Onsite Contraceptive Resources Usage,Sexual Health Education Usage,Sexual Health Services Usage,Cost Barrier,Barrier Not Relevant,Privacy Barrier,Male Condom (Past month),Sexual Lubricant (Past month),Female Condom (Past month),Latex Dam (Past month),Condom Use (Past month),Latex Dam Use (Past Month),Comfort of Acquisition (JIC Kit),Comfort of Acquisition (Online),Comfort of Acquisition (Drugstore),Comfort of Acquisition (Student Health Services),Comfort of Acquisition (Personal Health Clinic),Comfort of Acquisition (Vending Machine),Comfort of Acquisition (UMR Food Pantry),Comfort of Acquisition (RA or Student Group),Convenience of Acquisition (JIC Kit),Convenience of Acquisition (Online),Convenience of Acquisition (Drugstore),Convenience of Acquisition (Student Health Services),Convenience of Acquisition (Personal Health Clinic),Convenience of Acquisition (Vending Machine),Convenience of Acquisition (UMR Food Pantry),Convenience of Acquisition (RA or Student Group),STI Testing Barriers,Last Sexual Activity,Male Condom at Nothing besides JIC Kit,Male Condom at Drug Store,Male Condom at Online,Male Condom at Personal Health Clinic,Male Condom at Student Health Services,Male Condom at Vending Machines,Female Condom at Nothing besides JIC Kit,Female Condom at Drug Store,Female Condom at Online,Female Condom at Personal Health Clinic,Female Condom at RA or Campus Student Group,Female Condom at Student Health Services,Sexual Lubricant at Nothing besides JIC Kit,Sexual Lubricant at Drug Store,Sexual Lubricant at Online,Sexual Lubricant at Personal Health Clinic,Sexual Lubricant at Student Health Services,Latex Dams at Nothing besides JIC Kit,Latex Dams at Drug Store,Latex Dams at Online,Latex Dams at Personal Health Clinic,Latex Dams at Student Health Services,STI Testing Motivation (Past Month) from Family/Friend Recommendation,STI Testing Motivation (Past Month) from STI Symptoms,STI Testing Motivation (Past Month) from Unprotected Sex,STI Testing Motivation (Past Month) from Healthcare Provider Recommendation,STI Testing Motivation (Past Month) from Prefer Not to Say,STI Testing Motivation (Past Month) from New Sexual Relationship,STI Testing Motivation (Past Month) from Not Relevant,STI Testing Motivation (Past Month) from Partner Request,STI Testing Motivation (Past Month) from JIC Kit,JIC Kit Info from Campus Advert,JIC Kit Info from Welcome Week,JIC Kit Info from Friend,JIC Kit Info from Raptor Report,Free Condom Source at Campus Events,Free Condom Source at Health Services,Free Condom Source at None,Free Condom Source at Residence Halls,Free Condom Source at Food Pantry,Free Condom Source at 318 Commons,Free Condom Source at Unaware of location,Free Condom Source at UMR Involvement Fair,Condoms Obtained from Campus Event,Condoms Obtained from Campus Clinic,Condoms Obtained from Friend,Condoms Obtained from Not in 22-23,Condoms Obtained from Off-campus Clinic,Condoms Obtained from Store,Condoms Obtained from Residence Hall,Condoms Obtained from Partner
9/8/22 14:11,9/8/22 14:20,Survey Preview,100,TRUE,Junior,FT,Off-campus,Female,Female,White,N,Heterosexual,Yes,Yes,Yes,Minimum Access,Uncertain,Minimum Access,1,0,1,1,0,1,Future,Yes,No,No,NA,NA,Very comfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Very convenient,Neutral,Convenient,Convenient,Neutral,Convenient,Very convenient,Neutral,One Lifetime Partner,Past month,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9/8/22 14:16,9/8/22 14:21,Survey Preview,100,TRUE,Freshman,FT,On-campus,Female,Female,White,N,Lesbian,Unsure,No,Yes,Uncertain,Uncertain,Uncertain,1,1,1,1,0,0,Yes,Yes,Future,No,Mostly,Never,Very comfortable,Very comfortable,Uncomfortable,Comfortable,Comfortable,Comfortable,Very comfortable,Very comfortable,Very convenient,Very convenient,Very convenient,Convenient,Convenient,Inconvenient,Convenient,Convenient,Cost,Past month,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
9/8/22 14:18,9/8/22 14:24,Survey Preview,100,TRUE,Senior,FT,Off-campus,Female,Female,Hispanic or Latino,Y,Bisexual,Unsure,Yes,No,Uncertain,Uncertain,Uncertain,1,0,1,1,0,0,No,Yes,No,No,Never,NA,Very comfortable,Very comfortable,Very comfortable,Neutral,Very comfortable,Very uncomfortable,Very comfortable,Very uncomfortable,Very convenient,Neutral,Neutral,Very inconvenient,Very inconvenient,Very convenient,Very convenient,Inconvenient,One Lifetime Partner,Past week,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9/10/22 12:14,9/10/22 12:17,Survey Preview,100,TRUE,Freshman,FT,On-campus,Female,Female,Asian / Pacific Islander,N,Heterosexual,Yes,Yes,Yes,Minimum Access,Easy Access,Easy Access,1,1,1,1,0,1,Future,Future,Future,Future,NA,NA,Very comfortable,Very comfortable,Very comfortable,Very comfortable,NA,NA,NA,NA,Very convenient,Very convenient,Very convenient,Very convenient,Very convenient,Very convenient,Very convenient,Very convenient,Believe Not Infected,Past 1-6 months,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9/10/22 12:14,9/10/22 12:18,Survey Preview,100,TRUE,Freshman,FT,On-campus,Female,Female,Asian / Pacific Islander,N,Heterosexual,Unsure,Yes,No,Easy Access,Easy Access,Easy Access,1,1,1,1,0,1,Future,Future,Future,Future,NA,NA,Neutral,Comfortable,Very uncomfortable,Neutral,Neutral,Very uncomfortable,Uncomfortable,Uncomfortable,Very convenient,Very convenient,Neutral,Neutral,Convenient,Very inconvenient,Very inconvenient,Inconvenient,Unsure of Testing Facilities,Never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
9/10/22 12:14,9/10/22 12:18,Survey Preview,100,TRUE,Freshman,FT,On-campus,Female,Female,Two or more races,N,Heterosexual,Unsure,Yes,Yes,Uncertain,Uncertain,Uncertain,1,0,0,1,0,1,Future,No,No,No,Mostly,Never,Very comfortable,Very comfortable,Uncomfortable,Very uncomfortable,Neutral,Comfortable,Very comfortable,Uncomfortable,Very convenient,Very convenient,Convenient,Convenient,Convenient,Convenient,Convenient,Neutral,Not Relevant,Prefer not to say,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
9/12/22 9:16,9/12/22 9:18,Survey Preview,100,TRUE,Junior,FT,Off-campus,Female,Female,White,N,Heterosexual,No,No,Yes,Easy Access,Minimum Access,Minimum Access,0,1,1,0,0,1,Yes,Yes,Yes,Future,Always,Rarely,Comfortable,Very comfortable,Neutral,Comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very convenient,Very convenient,Very convenient,Very convenient,Very convenient,Very convenient,Very convenient,Very convenient,Unsure of Testing Facilities,Past 1-6 months,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
9/12/22 9:20,9/12/22 9:23,Survey Preview,100,TRUE,Junior,FT,Off-campus,Female,Female,White,N,Heterosexual,Unsure,No,Yes,Uncertain,Uncertain,No Access,1,1,0,1,0,1,No,Future,No,No,Never,Never,Neutral,Comfortable,Uncomfortable,Very uncomfortable,Comfortable,Very uncomfortable,Uncomfortable,Uncomfortable,Very convenient,Very convenient,Neutral,Neutral,Convenient,Neutral,Convenient,Neutral,One Lifetime Partner,Past month,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9/12/22 10:27,9/12/22 10:30,Survey Preview,100,TRUE,Senior,FT,Off-campus,Female,Female,Asian / Pacific Islander,N,Questioning,Unsure,No,Yes,Easy Access,Easy Access,Easy Access,1,0,0,0,0,1,Future,Future,No,No,Never,Never,Comfortable,Uncomfortable,Comfortable,Neutral,Neutral,Very uncomfortable,Comfortable,Uncomfortable,Very convenient,Inconvenient,Neutral,Convenient,Convenient,Neutral,Very convenient,Inconvenient,Not Sexually Active,Never,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
9/12/22 10:48,9/12/22 10:52,Survey Preview,100,TRUE,Senior,FT,Off-campus,Female,Female,White,N,Heterosexual,Unsure,Yes,Yes,Uncertain,Uncertain,Uncertain,1,0,0,1,0,1,No,Yes,No,No,Sometimes,Never,Neutral,Very comfortable,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Neutral,Uncomfortable,Convenient,Very convenient,Neutral,Inconvenient,Inconvenient,Inconvenient,Neutral,Inconvenient,Time Constraints,Past week,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
